"","B cell","Dendritic","Endothelial","Fibroblast","HNSCC","Macrophage","Mast","myocyte","T cell"
"B cell",1.13112486299633,0.832101107764028,0.663504841519623,0.207436697676683,0.620262016049777,2.64684269348991,0.737311858514338,0.149461271754913,2.35986343729798
"Dendritic",0.970638341528723,1.8886660011677,1.44930182803037,0.743887384252539,0.890564838791136,6.09029701156097,2.23372629630224,0.384660839383053,3.27765960100834
"Endothelial",3.30288602732831,2.85021707063399,5.17579596651479,4.64920922159074,8.40623606383775,8.31385091967813,4.43937988287613,2.37547733062022,5.21854945358227
"Fibroblast",4.74318029859265,3.30445206251826,4.11034194871681,5.81987383685334,11.9218318425864,7.22595434887207,4.47693411364047,2.93026637840274,5.57132241735454
"HNSCC",2.19426425129872,1.93660430996102,3.76425276023049,3.22492405990904,6.39262160561192,4.19717519991579,2.68842280599438,1.44117299957977,3.40102744670377
"Macrophage",1.80163505209577,2.00106249969153,2.56344234059612,1.47017526987303,1.89822364633118,8.83356243079948,3.11972671858724,0.589599393353491,3.75344149716477
"Mast",0.659469651351364,0.938053573767532,1.34010382734392,0.748613042257055,1.0394569556798,3.84576219148759,1.38801831829459,0.360798914071494,2.70245542583841
"myocyte",0.557575453814921,0.569594968615206,1.08683562777678,0.59093430901521,0.57056991780899,1.28831208241994,0.269276741982274,0.433945246123239,1.3405410430692
"T cell",0.698894511239173,1.08019852308647,1.20418671918045,0.230254463857516,0.555986035130969,2.81047971680361,0.767007247553559,0.306713415267332,2.18392571260865
